Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
David Decourcy Lefroy,Select Carbon Pty Ltd,n/a,Yuinmery Station Regeneration Project,ERF168999,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,7/3/22,7/3/22,6/3/47,Western Australia,6639,"16/D220790/3058/964 

The project is in the SHIRE OF SANDSTONE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168999.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF168999_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,3/7/24,2/7/49,n/a,n/a,35632,35632,0,0,0,0,0,0,0,0,0,0,0,0,35632,David Decourcy Lefroy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,27/05/2022 Variation to the project area - areas listed in the project have been removed,No,Australia
"David Harrison, and Trictor Investments Pty Ltd",Terra Carbon Pty Limited,n/a,Nullawarra Station #2 Native Forest Protection Project,EOP100683,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00347,Vegetation,"This project protects the native forest from being deforested (cleared) and the land from being converted to an agricultural system, where a clearing permit was issued before 1 July 2010.",Avoids emissions by not clearing native forest,n/a,2/6/14,1/7/10,30/06/2025,New South Wales,2835,"1/DP755639, 4202/DP766769, 870/DP761942

The project is in the Cobar local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100683.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100683_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,28/08/2014,27/08/2114,1/4/15,CAC507344,580225,580225,0,0,114436,56933,42655,42667,42682,67759,39686,43344,43344,32648,54071,David John Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"18/05/2015 Variation of project method - from the Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative - Avoided Deforestation 1.1) Methodology Determination 2015.

11/10/2021 Variation to participant name - from David Harrison, Trictor Investments Pty Ltd, and Jan Harrison to David Harrison, and Trictor Investments Pty Ltd.",No,Australia
"David Harrison, and Trictor Investments Pty Ltd",Terra Carbon Pty Limited,n/a,Nullawarra Station Native Forest Protection Project,EOP100562,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00347,Vegetation,"This project protects the native forest from being deforested (cleared) and the land from being converted to an agricultural system, where a clearing permit was issued before 1 July 2010.",Avoids emissions by not clearing native forest,n/a,18/02/2014,1/7/10,30/06/2025,New South Wales,2835,"870/DP761942

The project is in the Cobar local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100562.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100562_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,11/4/14,10/4/14,1/4/15,CAC507839,287116,287116,0,51345,15401,18504,22237,22243,22251,33493,22516,22589,22590,17013,16934,David John Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"18/05/2015 Variation of project method - from the Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative - Avoided Deforestation 1.1) Methodology Determination 2015.

11/10/2021 Variation to participant name - from David Harrison, Jan Harrison, and Trictor Investments Pty Ltd to David Harrison, and Trictor Investments Pty Ltd",No,Australia
David John Walker; Helen Jane Bentick; Steven Troy Bentick,John Beer,n/a,Bora Regeneration Project,EOP101114,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Exclusion of livestock; Management, in a humane manner, of feral animals",Feral Animals; Livestock,26/03/2015,1/7/10,30/06/2035,New South Wales,2839,"111/DP760482, 110/DP760481, 5886/DP768778

The project is in the Brewarrina local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP101114.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP101114_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,28/06/2017,27/06/2117,1/4/16,CAC102740,174020,166500,0,0,0,0,60588,11302,0,22507,14336,21045,0,18295,18427,Steven Troy Bentick; Helen Jane Bentick,0,7520,0,0,0,0,7520,0,0,0,0,0,0,0,0,Steven Troy Bentick,0,n/a,No,Australia
David Justin Hill,n/a,n/a,ShadeShelter2022 (Revoked),ERF177646,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,18/10/2022,18/10/2022,17/10/2047,New South Wales,2484,"1/DP1089434
 
The project is in the TWEED SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF177646.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,06/05/2025 - This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
David William Sloane,n/a,n/a,Restoring Murray Woodlands 005 Biodiversity and Carbon Project - Dogleg Swamp,ERF194550,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,17/07/2024,17/07/2024,16/07/2049,New South Wales,2646,"103/DP1091159
 
The project is in the Federation local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF194550.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Dempsey, Colm James",John Beer,n/a,Woodstock Regeneration Project,ERF102171,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,24/09/2015,1/10/15,30/09/2040,New South Wales,2840,"1/DP751945, 5429/DP768340, 5462/DP768370, 5464/DP768372, 5476/DP768386

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF102171.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF102171_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,16/05/2017,15/05/2117,1/11/16,CAC130408,116637,116637,0,0,0,0,6222,8606,24122,15769,14834,0,29643,0,17441,Colm James Dempsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Dempsey, Colm James",JB Carbon Services Pty Ltd,n/a,Byrock Station Regrowth Project,EOP101115,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,26/03/2015,1/7/10,30/06/2035,New South Wales,2839,"4339/DP767174

The project is in the Brewarrina local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP101115.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP101115_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,28/08/2015,27/08/2115,1/4/15,CAC244254,166525,165769,0,0,0,14037,18390,6498,39236,15439,17727,22306,32136,0,0,Colm James Dempsey,0,756,0,0,0,756,0,0,0,0,0,0,0,0,0,Colm James Dempsey,0,22/09/2015 Variation to the project area - areas listed in the project have been removed,No,Australia
Department for Environment and Water,CANOPY NATURE BASED SOLUTIONS PTY LTD,n/a,South Australian NPWS Environmental Plantings Project,ERF159982,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,27/11/2020,1/4/21,31/03/2046,South Australia,"5131, 5271, 5157, 5280, 5244, 5204, 5235, 5172, 5670, 5171, 5173, 5089, 5091, 5234, 5223, 5275, 5607, 5350, 5320","3/D26217, 4/D35231, 224/H441300, 2084/H150500, 1/D61151, 3942/H105600, 421/H151000, 78/H151000, 223/H151000, 411/H151000, 376/H151000, 102/F34430, 522/H105300, 54/H550300, 287/H650700, 392/H440800, 869/H106000, 1668/H105500, 1670/H105500, 4/F16369, 100/F29089, 821/H106000, 200/D30929, 2/D26217, 1/D26217, 5/D35231, 330/H441300, 323/H441300, 11/D35232, 356/H441300, 223/H441300, 2083/H150500, 1/H105900, 2/H105900, 424/H151000, 416/H151000, 408/H151000, 66/H151000, 129/H151000, 110/H151000, 62/H151000, 32/H151000, 1382/H151000, 379/H151000, 365/H151000, 410/H151000, 5/D18009, 152/D38341, 171/H440100, 10/D29068, 15/D73776, 12/H510200, 18/H510200, 6/D64397, 487/H440800, 503/H440800, 66/D55385, 16/D66930, 103/D36654, 105/D36654, 868/H106000, 10/F30681, 72/H105200, 202/D64607, 10/D38134, 1672/H105500 

The project is in the CITY OF TEA TREE GULLY, NARACOORTE LUCINDALE COUNCIL, ALEXANDRINA COUNCIL, THE DC OF GRANT, ADELAIDE HILLS COUNCIL, THE DC OF YANKALILLA, THE BAROSSA COUNCIL, DC OF ELLISTON, CITY OF ONKAPARINGA, KANGAROO ISLAND COUNCIL, KINGSTON DC, THE DC OF LOWER EYRE PENINSULA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF159982.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Department for Environment and Water,Terra Carbon Pty Limited,n/a,South Australia Ediacaran Landscape Regeneration Project,ERF138566,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Exclusion of livestock; Management, in a humane manner, of feral animals",Feral Animals; Livestock,4/2/20,4/2/20,3/2/45,South Australia,5730,"6216/153 

The project is in the Unincorporated local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF138566.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Department for Environment and Water,Timothy Moore,n/a,Glenthorne Farm & Southern Adelaide Biodiverse Carbon Rehabilitation,ERF127469,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,22/01/2019,22/01/2019,21/01/2044,South Australia,5158,"11/D45728, 1001/D73104, 1/D88148, 2/F18391, 1/F18391, 2/D88148, 5/D25441

The project is in the CITY OF MARION local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF127469.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Department for Environment and Water,n/a,n/a,River Murray Forest - Rowe & Ogilvry Site (Revoked),ERF101827,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,20/06/2014,19/06/2039,South Australia,5357,"78/D79416

The project is in the Loxton Walikerie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101827.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,14/05/2018 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
Department for Environment and Water,n/a,n/a,River Murray Forest - Watts Site  (Revoked),ERF101833,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,1/7/10,30/06/2035,South Australia,5311,"2/D26631

The project is in the Loxton Walikerie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101833.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,03/03/2016 This project has been revoked under section 33 of the CFI Act.,Yes,Australia
Department for Environment and Water,n/a,n/a,River Murray Forest - Lang Site (Revoked),ERF101835,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,1/8/12,31/07/2037,South Australia,5340,"22/H10600

The project is in the Renmark Paringa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101835.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"14/05/2018 This project has been revoked under section 30 of the CFI Rule.

",Yes,Australia
Department for Environment and Water,n/a,n/a,River Murray Forest - Frahn Site (Revoked),ERF101837,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,1/4/11,31/03/2036,South Australia,5340,"337/H10700

The project is in the Renmark Paringa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101837.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,03/03/2016 This project has been revoked under section 33 of the CFI Act.,Yes,Australia
Department for Environment and Water,n/a,n/a,River Murray Forest - Lazaroff Site (Revoked),ERF101839,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,1/4/11,31/03/2036,South Australia,5238,"340/F168107

The project is in the Mid Murray local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101839.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,03/03/2016 This project has been revoked under section 33 of the CFI Act.,Yes,Australia
Department for Environment and Water,n/a,n/a,Woorinen Recovery Project (Revoked),ERF101841,Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012,https://www.legislation.gov.au/Details/F2012L01340,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was cleared of forest for at least five years prior to the project having commenced. The tree species are native to the local area.,Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool,n/a,11/9/15,1/8/12,31/07/2037,South Australia,"5308, 5357","42/H700700, 41/H700700, 103/H700100, 27/H700700, 100/H700100, 40/H700700, 101/D110251, 329/H700600, 25/H700700, 67/H700100

The project is in the Karoonda East Murray,Loxton Walikerie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101841.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,18/07/2018 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
"Department of Environment, Science and Innovation",CO2 AUSTRALIA Pty Ltd,n/a,Varna Station Human-Induced Regeneration Project,ERF110799,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",12/4/17,12/4/17,11/4/42,Queensland,4480,"1/BUR58, 1/MCY19, 4/BUR70

The project is in the Quilpie Shire local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF110799.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF110799_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,18/05/2018,17/05/2118,n/a,n/a,53300,53300,0,0,0,0,0,6366,0,15444,8056,8029,0,7869,7536,"Colin Frank Creagh; Department of Environment, Science and Innovation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,19/12/2023 Variation to participant name - from Colin Frank Creagh and Jo Victoria Creagh to the Department of Environment and Science.,No,Australia
Department of Planning and Environment,Climate Friendly Pty Ltd,n/a,Gardens of Stone Environmental Plantings (Carbon) Project,ERF182170,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,3/7/23,3/7/23,2/7/48,New South Wales,2790,"NA/DPNA
 
The project is in the LITHGOW CITY COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF182170.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Department of Planning, Industry and Environment",Climate Friendly Pty Ltd,n/a,Koonaburra Regeneration Project,ERF169007,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management, in a humane manner, of feral animals",Feral Animals,8/10/21,8/10/21,7/10/46,New South Wales,2835,"5491/DP767755

The project is in the COBAR SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF169007.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF169007_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,3/9/24,2/9/24,n/a,n/a,18872,18872,0,0,0,0,0,0,0,0,0,0,0,0,18872,Department of Planning and Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Department of Planning, Industry and Environment",CO2 AUSTRALIA Pty Ltd,n/a,Environmental Plantings in NPWS Reserves - Pilot Project stage 3,ERF130412,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,16/10/2019,15/04/2021,14/04/2046,New South Wales,"2571, 2622, 2756, 2832, 2874","40/DP1144784, 183/DP755918, 184/DP755918, 192/DP755918, 2/DP203231, A/DP376017, 16/DP1096065, 75/DP751386, 246/DP751386, 225/DP751386, 305/DP751386, 219/DP751386, 4/DP1193800, 7/DP1193800, 245/DP751386, 2/DP1193800, 39/DP39778, 41/DP39778, 40/DP39778, 22/DP752267, 27/DP704110, 11/DP732649, C/DP376017, 1/DP435075, 17/DP1096065, 12/DP1095183, 8/DP1097414, 188/DP751386, 226/DP751386, 1/DP1193800, 5/DP1193800, 6/DP1193800 

The project is in the THE HILLS SHIRE COUNCIL, QUEANBEYAN CITY COUNCIL, WOLLONDILLY SHIRE COUNCIL, CLARENCE VALLEY COUNCIL, WALGETT SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF130412.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF130412_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,1/8/23,31/07/2123,n/a,n/a,757,757,0,0,0,0,0,0,0,0,0,0,0,757,0,Department of Planning and Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,13/03/2020 Variation to the project area - areas have been added to the project.,No,Australia
