Project_Name,Id,Developer,proponent_country_manual,Registry,Methodology,Sector,Country,Project.Status,Crediting.Period.Start,Crediting.Period.End,Annual.Est..Units,Total.Issued.Units,Total.Retired.Units,Total.Available.Units
"Small scale Mahoba JFM A/R CDM Project on degraded lands in Mahoba Forest Division, Uttar Pradesh, India",I6M27DYRELR0UCKZCTE2T0QEM5M9F9,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Biomass Residue-based Thermal Energy Generation Project at Yongzhou Kaiheng Forest Industry Co., Ltd.",PLCEA8TMH17AWKBKE256VSGOOCDABJ,Hunan CDM Project Service Center,,CDM Registry,CDM - AMS-I.C.,Energy industries (renewable - / non-renewable sources),China,Withdrawn,2011-01-01T00:00:00.000Z,2020-12-31T12:00:00.000Z,0,0,0,0
"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya",0LCD8U09HEN46XXT0YIX3XP5SYME0N,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Kenya,Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Biomass Residue-based Thermal Energy Generation Project at Huaihua Ruibang Forest Industry Co., Ltd.",JYYZCKSINJOR3ZITLJKG0QVUO58K5Z,Continental Carbon India,,CDM Registry,CDM - AMS-I.C.,Energy industries (renewable - / non-renewable sources),China,Validated,2011-01-01T00:00:00.000Z,2020-12-31T12:00:00.000Z,0,0,0,0
Thermoelectric Power Plant of 20MW driven by biomass originating from recently-planted energy forest dedicated to the project  UTE RONDON II,VTT6WROK7XWOHSB41HAFYFCZ5B897A,"CBEM, University of São Paulo",,CDM Registry,CDM - AM0042,NA,Brazil,Withdrawn,2009-01-15T00:00:00.000Z,2019-01-15T12:00:00.000Z,0,0,0,0
"Micro Hydro Power Plant Promotion Programme in Regions on the Upper Reaches of the Yangtze River, China (Micro Hydro Power Plant Promotion Programme in Forest Regions of Liangshan Prefecture, Sichuan Province)",VT6JX7YYU1IMXM4VG3PCR7R56S22CF,PEAR Carbon Offset Initiative,,CDM Registry,CDM - AMS-I.E.,Energy industries (renewable - / non-renewable sources),China,Registered,2014-01-17T00:00:00.000Z,2021-01-16T00:00:00.000Z,0,0,0,0
Use of charcoal from renewable biomass originated from forest plantations for the production of primary iron in Vallorec & Mannesmann do Brasil.,UEHN0DNLJ3ZTFJH92YQ56OATC021DA,EnvironmentFirst Energy Services,,CDM Registry,CDM - AM0082,Metal production,Brazil,Validated,2012-09-01T00:00:00.000Z,2019-09-01T18:00:00.000Z,0,0,0,0
Reforestation at the Idete Forest Project in the Southern Highlands of Tanzania,U8X9GK2B480JL11FFZYY4569RLALS5,Environmental Resources Management,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,United Republic of Tanzania,Validated,2003-09-18T00:00:00.000Z,2023-09-18T00:00:00.000Z,0,0,0,0
Pindo biomass energy generation from forest biomass,XNZANWNH838ALZ17PKL1WIBBSOM4FX,Energy Economy & Environmental Consultants,,CDM Registry,CDM - AMS-I.D.; AMS-III.E.,NA,Argentina,Validated,2010-01-01T00:00:00.000Z,2016-12-31T18:00:00.000Z,0,0,0,0
Lurio Forest Landscape PoA,3M66FY6L03ERDWPD0JZON05UXVD13A,Lurio Green Resources,,CDM Registry,CDM - AR-ACM0003,NA,Mozambique,Validated,2014-12-15T00:00:00.000Z,2021-12-14T00:00:00.000Z,0,0,0,0
"Small scale Mirzapur JFM A/R CDM Project on degraded lands in Mirzapur Forest Division, Uttar Pradesh, India",YPKUTL6YB2OWGYFFFSO04RKV5UD2F5,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Small scale Renukoot JFM AR CDM Project on degraded lands in Renukoot Forest Division, Uttar Pradesh, India",1ZSZ2GG22GOSG8Q4L29ALRBT3YTFFW,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
Kachung Forest Project: Afforestation on Degraded Lands,U3T39WU3P6F04ISC6OGTR0098OGZ5G,n.a.,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Uganda,Registered,2006-10-01T00:00:00.000Z,2026-09-30T00:00:00.000Z,345164,345164,0,345164
"Small scale Obra JFM A/R CDM Project on degraded lands in Obra Forest Division, Uttar Pradesh, India",ZYSW3EJW8IF7GDI6MYFA5KYCA84DD8,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,9201,9201,0,9201
Biomass power plant by Sahagreen Forest Project,202ZL3W3NUBNNSBCRW7V6MD82MV9RJ,n.a.,,CDM Registry,CDM - AMS-I.D.,Energy industries (renewable - / non-renewable sources),Thailand,Registered,2014-02-04T00:00:00.000Z,2024-02-03T00:00:00.000Z,0,0,0,0
Forestal y Papelera Concepción Biomass Residues Cogeneration Plant in Chile,CRG4GUWWM2WEHSPW921FKRVRADQZOG,PricewaterhouseCoopers,,CDM Registry,CDM - ACM0002; ACM0006,Energy industries (renewable - / non-renewable sources),Chile,Registered,2009-01-01T00:00:00.000Z,2015-12-31T00:00:00.000Z,0,0,0,0
Reforestation project using native species in Maringa-Lopori-Wamba region (Democratic Republic of Congo): establishment of the Bonobo Peace Forest,96G0M9Q69QM250KM51XO0SFEWR47WD,"Institut Congolais pour la Conservation de la Nature, University of Florence",,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,Democratic Republic of Congo,Withdrawn,2009-01-01T00:00:00.000Z,2039-01-01T12:00:00.000Z,0,0,0,0
Futuro Forestal Nicaragua Reforestation Program,842J7KCG5SRVNU5AZ2O6DK8SK18ND1,"WB-CF, Opera",,CDM Registry,CDM - AR-AM0004,NA,Nicaragua,Validated,2007-05-28T00:00:00.000Z,2014-05-27T00:00:00.000Z,0,0,0,0
Pindó Biomass Energy Generation from Forest Biomass,8QQLQX0B4TFKCYAGY7PU71KQKA36XX,n.a.,,CDM Registry,CDM - AMS-I.C.; AMS-III.E.,NA,Argentina,Registered,2013-01-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,0,0,0,0
"Small scale Sonbhadra JFM A/R CDM Project on degraded lands in Sonbhadra Forest Division, Uttar Pradesh, India",MJVYS0YD0GGCKXNM8QGCB7OH9UHQSB,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Small scale Chitrakoot JFM A/R CDM Project on degraded lands in Chitrakoot Forest Division, Uttar Pradesh, India",QVKDOES7WVK14P7R7LNNPTK2XKMVLF,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
Namwasa Central Forest Reserve Reforestation Initiative,1OB7JARSHK055XMN54ITN69SBK1ZH1,National Forest Authority Uganda,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Uganda,Registered,2005-08-22T00:00:00.000Z,2025-08-21T00:00:00.000Z,0,0,0,0
Songtao Agriculture and Forestry Biomass Power Project,MGWNUVQCWC6D31A4UK1NJIK227L4Q5,n.a.,,CDM Registry,CDM - ACM0018,Energy industries (renewable - / non-renewable sources),China,Authorized,2014-04-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,0,0,0,0
"PROCUENCA: Forestry Project to Restore the Watershed of the Chinchiná River, an Environmental and Productive Alternative for the City of Manizales and the Surrounding Region.",4XU3GS9F63DTVWF6BPNRTKQ6ZI0536,Deloitte Touche Tohmatsu India,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Colombia,Validated,2002-06-01T00:00:00.000Z,2022-06-01T00:00:00.000Z,0,0,0,0
Moldova Community Forestry Development Project,RZ5M0HDR7X5Y4ANBBZLSGYRU27G6G2,WB-CF,,CDM Registry,CDM - AR-AM0002,Afforestation and reforestation,Moldova,Registered,2006-11-01T00:00:00.000Z,2036-10-31T00:00:00.000Z,1023906,1023906,56557,967349
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR",PSO49NLKSHN2OGARN9FNR6NE6ZCBFQ,POCH Ambiental,,CDM Registry,CDM - AR-ACM0002,Afforestation and reforestation,Lao People's Democratic Republic,Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
Moldova Community Forestry Development Project,6J7W437VA4321BQ1V50OCM3PQ2VA2H,Om Sakthi Power Private,,CDM Registry,CDM - AR-AM0002,Afforestation and reforestation,Moldova,Withdrawn,2006-11-01T00:00:00.000Z,2036-10-31T12:00:00.000Z,0,0,0,0
"Reforestation of severely degraded landmass in Khammam District of Andhra Pradesh, India under ITC Social Forestry Project",IRNSR8NSZMDTUK8PB7ICGE5KNE7CJZ,PricewaterhouseCoopers,,CDM Registry,CDM - AR-AM0001,Afforestation and reforestation,India,Registered,2001-07-02T00:00:00.000Z,2031-07-01T00:00:00.000Z,809794,404897,0,404897
Agro-forestry Interventions in Koraput district of Orissa,OV736B5Z6FTBARE2RCOQOPTCHP3KRE,Patneswari Agri. Cooperative,,CDM Registry,CDM - AR-AMS0004,Afforestation and reforestation,India,Registered,2009-07-28T00:00:00.000Z,2039-07-27T00:00:00.000Z,50294,50294,0,50294
"Forestry Project for the Basin of the Chinchiná River, an Environmental and Productive Alternative for the City and the Region",JJ6I8M51HL6I4B3IS7VMO0WRZT2ASS,"Carbono & Bosques, CAEMA",,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Colombia,Registered,2002-06-04T00:00:00.000Z,2022-06-03T00:00:00.000Z,288518,288518,0,288518
Congjiang Agriculture and Forestry Biomass Power Project,XVLDQ10813MAO1VNTOL5Y1NU8DML2P,n.a.,,CDM Registry,CDM - ACM0018,Energy industries (renewable - / non-renewable sources),China,Authorized,2014-06-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,0,0,0,0
CDM Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia,Q6APY67C396D5BCQVCYU1UQTQEATEQ,n.a.,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Colombia,De-registered,2005-06-02T00:00:00.000Z,2025-06-01T00:00:00.000Z,1282853,1282853,1257195,25658
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.",02KH97HWZ25EXXPVGLS7MYE5PLNF7W,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Lao People's Democratic Republic,Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.",VG9OE34YH3VA3E2HZG1BEO24VAR2NI,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Lao People's Democratic Republic,Registered,2015-06-18T00:00:00.000Z,2045-06-17T00:00:00.000Z,0,0,0,0
Cogeneration of power and steam from Bioener S.A´s forestry waste,T14T4PDVOSO7QPRY8YZG9ROJ4P7XSP,Carbosur,,CDM Registry,CDM - AMS-I.C.; AMS-III.E.,NA,Uruguay,Registered,2011-10-11T00:00:00.000Z,2018-10-10T00:00:00.000Z,0,0,0,0
Forestry Project in Strategic Ecological Areas of the Colombian Caribbean Savannas,C7MOGSFI4OAAF0P5D30SCOA2P4MJTS,CAF,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,Colombia,Registered,2003-06-01T00:00:00.000Z,2033-05-31T00:00:00.000Z,1062660,1062660,0,1062660
GHG Programme-Afforestation and Reforestation Group4,8A3O4ICCPDZJEZLNXSR7MCXMUV3AWH,Kanaka Management Services,,CDM Registry,CDM - AR-AMS0007,NA,Mozambique,Validated,2020-02-26T00:00:00.000Z,2027-02-25T00:00:00.000Z,0,0,0,0
Small-scale Reforestation for Landscape Restoration.,988OVLUNUVKP42F67MCACDP3LCIGC6,Mitsubishi UFJ Securities,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,China,Validated,2006-10-15T00:00:00.000Z,2036-10-14T12:00:00.000Z,0,0,0,0
San Nicolas CDM Reforestation Project,D9FNHZ8HUQ6DLI2J0GXX3XHBZC1PCY,"Mas Bosques, WB-CF",,CDM Registry,CDM - AR-AM0009,Afforestation and reforestation,Colombia,Registered,2008-06-18T00:00:00.000Z,2028-06-17T00:00:00.000Z,0,0,0,0
Vale Florestar. Reforestation of degraded tropical land in Brazilian Amazon,FZ5GZY6K7SKEAIC5K67IX4AU1S4X2H,Vale,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,Brazil,Registered,2007-03-06T00:00:00.000Z,2024-03-05T00:00:00.000Z,0,0,0,0
Small-scale Reforestation for Landscape Restoration,XRBP7BQVJEKWNGD0RB8ISRVZVO6MCM,"Chinese Academy of Forestry, Winrock",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,China,Withdrawn,2007-06-01T00:00:00.000Z,2037-05-31T12:00:00.000Z,0,0,0,0
"Reforestation of grazing Lands in Santo Domingo, Argentina",JBQRATSO9YD14WIEW0AUGUDA65K16M,First Climate,,CDM Registry,CDM - AR-AM0005,Afforestation and reforestation,Argentina,Registered,2007-05-02T00:00:00.000Z,2027-05-01T00:00:00.000Z,451856,451856,442819,9037
Niassa Reforestation Project,HSPL79C8DBYFS5VBH8M68Z864IKJ4E,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Mozambique,Registered,2007-01-15T00:00:00.000Z,2027-01-14T00:00:00.000Z,0,0,0,0
Carbon sequestration through reforestation on rural properties,Y9UCDVYW5A8EEFAGR9SKAGJAR7C46G,n.a.,,CDM Registry,CDM - AR-ACM0003,NA,Brazil,Validated,2020-11-27T00:00:00.000Z,2027-11-26T00:00:00.000Z,0,0,0,0
Reforestation for multiple purposes as a means of sustainable,0RBIS87674AWADY73OVT2RP6A1E98H,n.a.,,CDM Registry,CDM - AR-ACM0003,NA,Brazil,Validated,2019-03-01T00:00:00.000Z,2026-02-28T00:00:00.000Z,0,0,0,0
Southern Nicaragua CDM Reforestation Project,MW7N5SY91H74WVZFREX1J2Y21JFXSQ,"WB-CF, Precious Woods Holding",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Nicaragua,Registered,2003-07-04T00:00:00.000Z,2033-07-03T00:00:00.000Z,233309,233309,25000,208309
Uganda Nile Basin Reforestation Project No.5,S8MNAC1Z03ABYWZX3MRL7JNV0SLK7A,"WB-CF, UNIQUE forestry consultants",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Uganda,Registered,2006-04-01T00:00:00.000Z,2026-03-31T00:00:00.000Z,55385,55385,6056,49329
India: Himachal Pradesh Reforestation Project  Improving Livelihoods and Watersheds,ZUOWR7RIVG6BECVHP1E229QEN3GMQK,WB-CF,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,India,Registered,2006-07-01T00:00:00.000Z,2026-06-30T00:00:00.000Z,228334,228334,13874,214460
"Multiple-purposes Reforestation on Degraded Lands in Longyang, Yunnan, P.R. China",AIFMDOVYZFYQFZ1UZXRGE241NBGETF,Chinese Academy of Forestry,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,China,Withdrawn,2008-04-01T00:00:00.000Z,2038-04-01T12:00:00.000Z,0,0,0,0
Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Gathiuru-Kiamathege Small Scale A/R Project,BW30NWASWS5DEAO3T9Y1OG9VULRU9F,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
CARBON SEQUESTRATION THROUGH REFORESTATION IN THE BOLIVIAN TROPICS BY SMALLHOLDERS OF The Federación de Comunidades Agropecuarias de Rurrenabaque (FECAR),XN4VJD06M0WEKQA00JY5IVABVAYM9R,CETEFOR,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Bolivia,Registered,2008-02-12T00:00:00.000Z,2029-02-11T00:00:00.000Z,0,0,0,0
Rehabilitation of Degraded Wastelands at Deramandi in Southern District of National Capital Territory of Delhi through Reforestation,8I3SU7WUHIQAUZTKU01EU5BWLD01L4,GTZ,,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,India,Registered,2008-07-01T00:00:00.000Z,2038-06-30T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group1,XU11XVTMI055VK9BM2LFL9ER7FRN5H,NA,,CDM Registry,CDM - AR-AM0014,NA,Mozambique,Validated,2020-02-19T00:00:00.000Z,2027-02-18T00:00:00.000Z,0,0,0,0
"Reforestation, sustainable development and carbon sequestration project in Kenyan degraded lands",0YQ1T5IIS62P0HCXDXAB1WN33KSH3K,n.a.,,CDM Registry,CDM - AR-ACM0001,Afforestation and reforestation,Kenya,Withdrawn,2009-12-02T00:00:00.000Z,2029-12-02T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group3,BMTCSE54Q4RUBUL01XDK7YPLB6FXAS,Kanaka Management Services,,CDM Registry,CDM - AR-AMS0003,NA,Mozambique,Validated,2019-12-26T00:00:00.000Z,2026-12-25T00:00:00.000Z,0,0,0,0
Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kamae-Kipipiri Small Scale A/R Project,ZSPB3HG9LVE02S9T76I1ALEUK0DYGD,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Registered,2007-10-01T00:00:00.000Z,2027-09-30T00:00:00.000Z,0,0,0,0
Uganda Nile Basin Reforestation Project No 2,D4FS72P87X2KIPBMDEIZUTNPYOCWG1,"WB-CF, UNIQUE forestry consultants",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Uganda,Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,8877,8877,970,7907
Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kibaranyeki Small Scale A/R Project,MTK9T50DHU6T3ITRUGOGHBCLNLTVX0,"Joanneum Research, UNIQUE forestry consultants, Green belt movement",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Kenya,Registered,2010-04-01T00:00:00.000Z,2030-03-31T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group2 - Withdrawn,SWCO3ZKAPXDTASX7DSK26E5S46Q2I6,Kanaka Management Services,,CDM Registry,CDM - AR-AMS0007,NA,Mozambique,Withdrawn,2019-12-20T00:00:00.000Z,2026-12-19T00:00:00.000Z,0,0,0,0
GHG Programme-Afforestation and Reforestation Group3 - Withdrawn,YDQ8WBXVE2OPYCPF9ONDP84KR76MOI,NA,,CDM Registry,CDM - AR-ACM0003,NA,Mozambique,Withdrawn,2019-12-20T00:00:00.000Z,2026-12-19T00:00:00.000Z,0,0,0,0
Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco,BYA6Z6FK077YCPTPRSO9N8U240YORN,n.a.,,CDM Registry,CDM - AR-AM0004,Afforestation and reforestation,Colombia,De-registered,2000-08-02T00:00:00.000Z,2030-08-01T00:00:00.000Z,2199533,2199533,735330,1464203
"Reforestation of croplands and grasslands in low income communities of Paraguarí Department, Paraguay",152JLRFRWXOTXT9YJ2BZ9TNX6H3C57,"Mitsubishi UFJ Securities, Japan Green Resources Agency",,CDM Registry,CDM - AR-AMS0001,Afforestation and reforestation,Paraguay,Registered,2007-07-25T00:00:00.000Z,2027-07-24T00:00:00.000Z,6819,6819,0,6819
